order_id,order_date,warehouse,status,units,fulfillment_cost
5001,2024-03-23,WH-West,,1.0,82.6
5002,2024-05-17,WH-East,Cancelled,1.0,459.37
5003,2024-02-24,WH-North,Delayed,4.0,81.43
5004,2024-01-24,WH-West,Delivered,5.0,105.71
5005,2024-02-27, WH-South,Cancelled,1.0,309.7
5006,2024-04-11,WH-South,Delivered,5.0,436.31
5007,2024-03-15,WH-South,Cancelled,1.0,306.91
5008,2024-05-23,WH-South,Delivered,5.0,307.04
5009,2024-02-18,WH-North,Cancelled,,78.26
5010,2024-01-16,WH-South,Delayed,,289.27
5011,2024-07-17,WH-West,Cancelled,4.0,212.71
5012,2024-03-04, WH-South,Delivered,1.0,308.49
5013,2024-05-14,WH-East,,4.0,179.57
5014,2024-01-19,wh-north,Delayed,2.0,390.71
5015,2024-02-08,WH-West,Delivered,,84.93
5016,2024-05-22,WH-East,Delivered,,207.58
5017,2024-05-07,WH-West,Delivered,1.0,475.11
5018,2024-05-01, WH-South,Delivered,1.0,379.02
5019,2024-03-20,wh-north,,4.0,178.07
5020,2024-04-08,WH-East,Delivered,4.0,209.96
5021,2024-06-05,WH-West,Delivered,2.0,395.7
5022,2024-02-03,WH-South,Delayed,4.0,462.57
5023,2024-05-07,WH-South,Delayed,4.0,297.25
5024,2024-08-14,WH-West,Cancelled,3.0,367.88
5025,2024-04-01,WH-West,Delivered,2.0,87.34
5026,2024-02-08, WH-South,Delivered,1.0,268.23
5027,2024-05-30,WH-East,Delivered,1.0,115.55
5028,2024-05-16,wh-north,Cancelled,3.0,478.89
5029,2024-06-25,wh-north,,,382.9
5030,2024-04-26,wh-north,Delayed,4.0,229.54
5031,2024-01-27, WH-South,Delayed,1.0,135.77
5032,2024-02-23,WH-South,Delivered,3.0,320.33
5033,2024-01-27,wh-north,Delivered,5.0,95.66
5034,2024-04-03,WH-North,Delivered,2.0,326.33
5035,2024-02-08,WH-East,Delivered,5.0,213.87
5036,2024-02-01,WH-West,Delayed,4.0,267.73
5037,2024-01-22,WH-North,,3.0,383.16
5038,2024-05-02,WH-South,Cancelled,1.0,142.35
5039,2024-08-31,WH-East,Delivered,,294.43
5040,2024-01-07,WH-East,,1.0,363.29
5041,2024-03-07,WH-East,Delivered,3.0,397.37
5042,2024-05-16,wh-north,Delivered,,150.37
5043,2024-07-26,WH-South,Delayed,,411.5
5044,2024-02-21,WH-West,Delivered,,63.04
5045,2024-01-08,WH-West,Delivered,2.0,361.63
5046,2024-03-29, WH-South,Delivered,3.0,86.24
5047,2024-01-27,WH-West,Delivered,3.0,141.97
5048,2024-06-08,WH-North,Delayed,,204.8
5049,2024-06-13, WH-South,Delivered,4.0,402.04
5050,2024-07-11,WH-West,Delivered,4.0,405.11
5051,2024-03-26, WH-South,Delayed,4.0,230.62
5052,2024-08-30, WH-South,Delivered,2.0,496.9
5053,2024-01-08,wh-north,Delayed,,115.78
5054,2024-07-30,WH-West,,3.0,120.16
5055,2024-05-20,WH-North,Delivered,,342.35
5056,2024-05-14,WH-South,Delayed,2.0,421.77
5057,2024-02-24,WH-East,Delivered,3.0,275.52
5058,2024-07-14,WH-East,Delivered,5.0,238.56
5059,2024-02-03, WH-South,Delivered,4.0,348.11
5060,2024-07-27,WH-West,Cancelled,2.0,289.32
5061,2024-05-14,WH-North,Delayed,2.0,323.85
5062,2024-07-17,WH-South,Delivered,4.0,328.6
5063,2024-01-31,WH-North,Delivered,,283.26
5064,2024-05-22,WH-North,Cancelled,1.0,161.82
5065,2024-03-11,WH-North,Cancelled,4.0,302.78
5066,2024-07-13,WH-West,Delivered,5.0,488.01
5067,2024-06-04,WH-South,,3.0,253.56
5068,2024-05-16,wh-north,Delivered,,285.44
5069,2024-08-12,wh-north,Delivered,4.0,111.71
5070,2024-02-01,WH-West,Delivered,1.0,352.02
5071,2024-04-19,WH-South,,3.0,402.77
5072,2024-08-17, WH-South,,,214.78
5073,2024-03-05,WH-West,Delivered,,478.63
5074,2024-04-11,WH-South,,2.0,122.66
5075,2024-04-20,WH-West,Delivered,4.0,138.09
5076,2024-03-22, WH-South,Delivered,1.0,202.09
5077,2024-04-27, WH-South,Delivered,4.0,199.17
5078,2024-06-08,wh-north,Delivered,1.0,493.29
5079,2024-07-20,WH-North,Delivered,3.0,172.36
5080,2024-08-19,WH-East,Delivered,4.0,432.31
5081,2024-06-22,WH-West,Delivered,5.0,463.63
5082,2024-05-26, WH-South,Delivered,1.0,175.58
5083,2024-07-23,WH-South,Delayed,1.0,171.02
5084,2024-01-05,WH-North,Delivered,1.0,323.68
5085,2024-02-26,WH-East,Delivered,4.0,55.2
5086,2024-05-21,WH-East,Cancelled,2.0,69.44
5087,2024-06-30,WH-North,Delivered,3.0,72.67
5088,2024-02-21, WH-South,Delivered,5.0,391.77
5089,2024-03-15,wh-north,,2.0,171.74
5090,2024-07-24,WH-East,Delivered,1.0,58.3
